Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Pic
Hagure,@Hagure,they/them,"All roads in the Vortex Gallery leads to the slime. Loves to play lame af. He goes to events to TO games, eat good food, & mix drinks. See him in Marvel 2/3, UNI, VSAV or TMNT:TF — first round of drinks is on the loser!",https://github.com/hagure,https://dl.airtable.com/.attachments/9b07bae24168bb7c5989faaa1cdd0b69/ae90d46c/staff_hagure.jpg
Kashkabald,@kashkabald,they/he (prefer they),Play Akatsuki Blitzkampf. It's a good game.,@kashkabald,
Kiyobi,,,,,
Kumubou,@kumubou,he/him,,https://twitter.com/kumubou,https://dl.airtable.com/.attachments/df05c720372efc2e53f343830ecb694b/38a875f1/76693228_p0.png
Lauralunalu,@lauralunalu,She/her,"Host, content creator and FG Commentator. She always mains sexy gals like her. Red lipstick and red outfit is always on point.",Twitch.tv/lauralunalu,https://dl.airtable.com/.attachments/d71e105829be889100624c3390c95f96/7497937c/LauraLunaLu.jpg
lDarkllArg,@lDarkllArg,he/him,,,
Linus,@WasabiLinus,he/him,,https://twitter.com/WasabiLinus,https://dl.airtable.com/.attachments/ef32a37e05c2cd103de866378c8ee37e/050e76e4/staff_linus.jpg
LunaNova ,@TMP_Lunanova,,,,
NeonFaith,@ItzNeonFaith,,"""Who’s joe?"" a distant voice asks.

Instantly everyone nearby hears the sound of 1,000s of bricks rapidly shuffling towards his location.

The earth itself seemed to cry out in agony, until finally the ground itself split open and a horrific creature crawled from the ground, covered in mucus and tar.

”Joe Momma…” the creature whispered.",https://tenor.com/view/amogus-gif-20637349,https://dl.airtable.com/.attachments/98ae2f21ee890bb7ed4f4f06894d4827/8e7a877c/NeonFaith.png
NiteRAId,@NiteRAId,he/him,"Anime Fightmans player from the Philippines. Usually providing support as a TO, Commentator, and Graphics provider. Occasional fightmans streamer.",https://twitter.com/NiteRAId,https://dl.airtable.com/.attachments/19b2bed18dd757099400aedeeac7981c/2a655609/niteraid.png
Noctislucis,,he/him,,,
Numakie,@numakie,,,https://twitter.com/numakie,https://dl.airtable.com/.attachments/ffba5c542bfad5eaab58a42b55fd372b/62459267/staff_numakie.jpg
Osugure,@Osugure,he/him,"Always doing too much, never stops doing too much, confused on how I even do so much....",https://twitter.com/Osugure,https://dl.airtable.com/.attachments/406fc62336b77d1bb958753810cd9f9f/4df1b0cd/IzaSalt.png
PonytailFC,@PonytailFC,he/him,Potemkin main and commentator. Ask me about kara backwards megafist loops to make me sad.,https://www.twitch.tv/ponytailfc,
RBJeanne,@redbeanjeanne,,"Occasionally crawls out of the FFXIV retirement home to hold it down for the Malaysian/SEA FGC, check it: https://www.facebook.com/InfiniteCarnage.InC

See me in P4U rollback edition",https://twitter.com/redbeanjeanne,
Red,@Blossomail,he/him,Fighting games innit,https://twitter.com/Blossomail,
rolldodge,@rolldodge_,"they/them, he/him",,,
Ryyudo,@Ryyudo,He/Him; They/Them,Guilty Gear series commentator and liker. Purveyor of #FitFGC and pun enthusiast. Variety streamer during the free time.,Twitter.com/Ryyudo ,
Salazio,@LFC_Salazio,he/him,,https://twitter.com/LFC_Salazio,
Shiburizu,@shiburizu,he/him,,https://twitter.com/shiburizu,https://dl.airtable.com/.attachments/911ff099d5ee8892d2bb450eedeac32d/2fbfd80f/staff_shiburizu.jpg
shtkn,@shtkn,he/him,,,
SkyesT,@itsameskyest,he/him,"Hi, I like money but I like fighting games more.",https://twitter.com/ItsameSkyesT,https://dl.airtable.com/.attachments/9c2c10edba5d507afdadae983b612238/53372bf1/SkyesT.jpg
TakatoKurenai,@TakatoKurenai,he/him,Guilty Gear is fun!,,
TENMA,@tenma0105,,,https://twitter.com/tenma0105,https://dl.airtable.com/.attachments/e1577d2c89d10a39c075d09405608dbf/6ad3b7b4/staff_tenma.jpg
Tetora ,@nuryadin_jason,any ,"Hello, I'm Tetora from Indonesia. Currently Running Drop The Cap, A FGC Community based in Surabaya East Java, Indonesia (SEA). I sometime run grassroot community tournament both offline and online. Hit me up if you're from Indonesia especially East Java. We welcome anyone to join our community ",https://imgur.com/tCWd7O3,https://dl.airtable.com/.attachments/52fe90695ce71a3eba83c706657cd6bf/c8e613c7/Tetora.png
The Seeker,@ISW_TheSeeker,he/him,"I’m from Brazil (SA). I love fighting games, and try to play FGs that my PC can run. I’m seeking to be a good player and commentator to help and improve the communitys that I love.",https://twitter.com/ISW_TheSeeker?t=DCd7izwP8r44Icrnf56_rQ&s=09,
Tito Steef,@titosteef,he/him,"Uncle Gamer that Primarily plays fighting games and retro games. Usually doing commentaries for KOF and other SNK games. First Love fighting game will always be Project Justice, second Loves are KOF, Guilty Gear, Vampire Savior, Melty Blood, other loves include Bloody Roar, CVS2, Virtual On. Brings old games setup to events for the other old people and kids. Helped start the local Smash and Splatoon scene back in the day.",https://www.facebook.com/titosteef,
Too,@2TTTTTTTTTTTTT,,"Thailand / SEA TO
JRPG Enthusiast",,https://dl.airtable.com/.attachments/62b29b11a4d40d6f372513b85b4a1951/fadb81d6/too.png
Toto,@totonoelizalde,He/Him,,,
Uyt,@Uyt_sg,he/him,Come join the South East Asia anime fighter community at AirdasherSEA twitter/discord!,https://twitter.com/airdasher_sea,https://dl.airtable.com/.attachments/57494a251a9f1204aa8a8c169f4bd948/4d8eb630/uyt.jpg
VermiVermi,VermiVermii,he/him,,,https://dl.airtable.com/.attachments/82d3d82d667417cfba35ca3afa1a7e28/de15c6c6/vermi.jpg
VGD,@airdasher_sea,,"VGD here, I'm the Head TO of Airdasher SG & Airdasher SEA. Here to help bring the SouthEastAsian anime/kusoge FGC together. SEA-food tour guide, I'll probably be the one to take you to eat(even when not in my home-country of Singapore)
Please play me in UMVC3/MVCI, Mike Haggar’s no.1 office boy. ",https://www.facebook.com/cleonHats/,https://dl.airtable.com/.attachments/661fceeae27520c1415fdb3c6a4ea091/528f144b/vgd.png
Weebmaru,@Weebmaru1,,Streamer for Airdasher SEA. Lonely last year. still lonely this year ,twitch.tv/weebmaru,https://dl.airtable.com/.attachments/a235e01a18d28e756c35a4e314efffc7/bd03c798/weebmaru.png
Zate,@Zatefgc,he/him,"I’m a TO and commentator for many anime fighters in the Brazillian community, trying to grow and help our scene as much as i can. Also the official protector of Mizore Yoroizuka.",https://twitter.com/Zatefgc,
